# n_neighbors,slab_index,site_index,metal_index,energy
3,74,7,5,-0.174638
1,74,8,1,1.423100
1,75,0,4,0.808064
2,75,1,2,0.486053
3,75,2,5,0.234433
2,75,3,3,0.685452
3,75,2,5,0.230514
2,75,7,2,0.363758
3,75,6,5,0.076237
2,75,7,2,0.238626
2,75,8,2,0.516516
2,76,1,5,-0.139087
1,76,1,5,0.598939
1,76,2,5,0.542140
3,76,1,5,-0.216630
2,76,1,5,-0.146193
2,76,8,5,-0.025085
1,76,6,1,1.244874
2,76,7,1,0.968311
2,76,8,5,-0.106189
3,77,0,2,0.070416
3,77,3,5,0.297635
1,77,2,5,0.516563
2,77,3,5,0.269917
1,77,4,0,1.172153
1,77,5,0,1.205777
1,77,6,0,1.132100
1,77,7,1,1.209412
2,77,8,5,0.323330
1,78,0,3,1.251117
1,78,1,3,1.292847
1,78,2,4,1.025463
1,78,3,4,0.981729
1,78,4,2,1.294483
1,78,5,1,1.627562
2,78,6,4,0.774851
1,78,7,4,0.990870
1,78,8,4,0.951614
3,79,0,1,0.555548
1,79,1,1,1.413328
2,79,2,2,0.689490
1,79,3,5,0.908362
1,79,4,4,0.770937
2,79,5,2,0.675192
1,79,6,0,1.550801
1,79,7,4,0.753964
2,79,8,4,0.724468
1,80,0,0,1.489763
1,80,1,4,1.007896
2,80,2,0,1.057470
1,80,3,4,0.864462
1,80,4,4,0.820138
1,80,5,1,1.383843
1,80,6,4,0.839109
1,80,7,1,1.421763
2,80,8,5,0.492571
3,81,0,2,0.179622
3,81,0,2,0.277315
2,81,2,2,0.384754
3,81,3,2,0.585652
1,81,4,4,0.846097
3,81,5,2,0.283172
1,81,6,2,0.933143
3,81,7,5,0.167196
1,81,8,4,0.753054
3,82,0,5,-0.054055
3,82,1,2,0.323226
3,82,4,5,-0.207622
1,82,3,1,1.077258
3,82,4,5,-0.198709
3,82,4,5,-0.210106
1,82,6,1,1.289700
1,82,7,1,1.310786
3,82,8,0,0.326861
1,83,0,3,1.171166
1,83,1,5,1.108960
1,83,2,4,0.796658
1,83,3,4,0.929437
1,83,4,3,1.291520
1,83,5,4,0.988119
1,83,6,3,1.213503
1,83,7,1,1.558692
1,83,8,4,1.002898
3,84,0,5,0.540152
1,84,1,4,0.826967
1,84,2,4,0.859446
1,84,3,2,1.063880
1,84,4,1,1.488173
