# n_neighbors,slab_index,site_index,metal_index,energy
1,33,3,4,-1.377994
1,33,4,4,-1.402007
1,33,5,2,-0.436995
1,33,6,2,-0.396422
1,33,7,1,-0.199186
1,33,8,4,-1.436288
1,34,0,5,0.011262
1,34,1,1,-0.193375
1,34,2,1,-0.296942
1,34,3,5,-0.048608
1,34,4,5,-0.075618
1,34,5,1,0.008055
1,34,6,5,-0.021386
1,34,7,5,-0.084490
1,34,8,1,-0.131810
1,35,0,1,-0.284495
1,35,1,4,-1.421504
1,35,2,0,-0.132685
1,35,3,2,-0.440920
1,35,4,4,-1.662597
1,35,5,4,-1.576716
1,35,6,2,-0.522052
1,35,7,1,-0.208704
1,35,8,4,-1.547802
1,36,0,2,-0.520049
1,36,1,2,-0.523831
1,36,2,1,-0.113865
1,36,3,2,-0.529579
1,36,4,2,-0.563130
1,36,5,4,-1.192309
1,36,6,2,-0.601482
1,36,7,2,-0.532534
1,36,8,4,-1.175696
1,37,0,0,-0.145039
1,37,1,2,-0.537342
1,37,2,5,0.008893
1,37,3,5,-0.006683
1,37,4,4,-1.581231
1,37,5,1,-0.333708
1,37,6,4,-1.511622
1,37,7,0,-0.103789
1,37,8,3,-1.091824
1,38,0,1,-0.106703
1,38,1,4,-1.322697
1,38,2,1,-0.139639
1,38,3,1,-0.161306
1,38,4,1,-0.271017
1,38,5,5,-0.048758
1,38,6,2,-0.489164
1,38,7,2,-0.535449
1,38,8,2,-0.505818
1,39,0,3,-1.085011
1,39,1,4,-1.265269
1,39,2,0,-0.107220
1,39,3,2,-0.530805
1,39,4,1,-0.186673
1,39,5,0,-0.137546
1,39,6,1,-0.311148
1,39,7,1,-0.284424
1,39,8,0,-0.117337
1,40,0,5,-0.013028
1,40,1,2,-0.615350
1,40,2,3,-0.965400
1,40,3,3,-0.958324
1,40,4,0,-0.107479
1,40,5,2,-0.511026
1,40,6,3,-0.895120
1,40,7,5,-0.121643
1,40,8,5,-0.033061
1,41,0,2,-0.542012
1,41,1,2,-0.490811
1,41,2,2,-0.558771
1,41,3,2,-0.491234
1,41,4,5,0.010737
1,41,5,5,0.025242
1,41,6,2,-0.589405
1,41,7,2,-0.545520
1,41,8,2,-0.605285
1,42,0,0,-0.176288
1,42,1,3,-1.074752
1,42,2,1,-0.175537
1,42,3,2,-0.511271
1,42,4,1,-0.244475
1,42,5,1,-0.261015
1,42,6,1,-0.187904
1,42,7,1,-0.132486
1,42,8,4,-1.441943
1,43,0,5,-0.169278
1,43,1,5,-0.151590
1,43,2,5,-0.080004
0,43,3,1,-0.080004
0,43,4,5,-0.080004
1,43,5,1,-0.153501
1,43,6,4,-1.219049
1,43,7,5,-0.123146
1,43,8,5,-0.085119
1,44,0,5,-0.022003
1,44,1,3,-1.113304
1,44,2,5,-0.029385
1,44,3,3,-1.080016
1,44,4,3,-0.937418
1,44,5,5,0.061077
1,44,6,5,-0.043501
1,44,7,0,-0.124805
1,44,8,2,-0.603889
