# n_neighbors,slab_index,site_index,metal_index,energy
2,41,0,2,-1.279137
3,41,2,2,-1.370742
2,41,4,5,-1.304702
2,41,3,2,-1.249688
3,41,4,5,-1.437317
3,41,4,5,-1.469279
1,41,6,2,-0.814610
3,41,7,2,-1.413347
3,41,8,2,-1.360678
1,42,0,0,-0.009946
1,42,1,3,-0.488161
1,42,2,1,-0.031639
3,42,3,2,-0.910253
1,42,4,1,-0.081418
1,42,5,1,-0.148555
1,42,6,1,-0.053385
1,42,7,1,-0.008207
1,42,8,4,-0.653457
2,43,0,5,-1.678889
2,43,4,5,-1.806198
3,43,1,5,-1.806482
1,43,3,1,-1.022790
1,43,4,5,-1.159583
2,43,2,5,-1.606516
1,43,6,4,-0.694203
3,43,7,5,-1.896199
3,43,8,5,-1.905290
2,44,0,5,-1.701642
1,44,1,3,-0.519808
2,44,2,5,-1.689651
2,44,3,3,-1.070006
1,44,4,3,-0.440193
3,44,2,5,-1.776595
3,44,6,5,-1.784451
3,44,6,5,-1.769351
3,44,8,2,-1.039278
1,45,0,4,-0.648752
3,45,1,0,-0.677865
3,45,2,0,-0.467242
1,45,3,4,-0.724737
3,45,4,1,-0.477174
3,45,7,0,-0.680755
1,45,6,4,-0.494833
3,45,8,0,-0.753344
2,45,8,0,-0.668218
2,46,0,0,-0.672463
3,46,1,5,-1.331817
3,46,1,5,-1.345587
1,46,3,1,-0.385064
1,46,4,0,-0.419959
3,46,4,0,-0.917526
3,46,6,0,-0.835081
1,46,7,3,-0.571766
1,46,8,0,-0.328797
1,47,0,1,-0.061703
1,47,1,1,-0.175753
1,47,2,1,-0.139475
3,47,3,1,-1.554906
3,47,5,5,-1.636621
1,47,5,5,-0.934205
1,47,6,1,-0.251250
3,47,5,5,-1.654011
3,47,5,5,-1.583538
1,48,0,5,-0.437928
1,48,1,4,-0.707818
1,48,2,1,-0.082819
1,48,3,1,-0.141714
1,48,4,1,-0.035559
1,48,5,4,-0.716283
1,48,6,4,-0.773810
1,48,7,4,-0.710490
1,48,8,1,-0.050552
1,49,0,3,-0.503970
2,49,3,5,-1.212622
1,49,2,2,-0.461664
3,49,3,5,-0.877489
2,49,3,5,-1.238386
1,49,5,4,-0.749483
1,49,6,3,-0.574268
2,49,7,0,-0.631637
1,49,8,3,-0.485874
2,50,0,5,-1.587337
3,50,1,5,-1.405309
3,50,2,5,-1.659776
1,50,3,5,-0.943694
2,50,3,5,-1.530182
3,50,7,5,-1.368246
3,50,6,5,-1.633969
1,50,7,5,-0.867915
3,50,8,5,-1.366798
